Material nd "abbe number" T(mm) deviation "Wedge angle" Diameter T_edge "wedge radians" B C H Manufacturer "Prism Type"
UVFS 1.4585 67.82 3 0.5 1.05 25 3.45820022389245 0.018325957145941 0.458200223892447 25.0041985963393 n/a "Edmund Optics" Wedge
UVFS 1.4585 67.82 3 1.0 2.0988 25 3.91618408233168 0.036630970340857 0.91618408233168 25.0167822325877 n/a "Edmund Optics" Wedge
UVFS 1.4585 67.82 3 1.5 3.145 25 4.37364498918428 0.054890604975222 1.37364498918428 25.0377095708915 n/a "Edmund Optics" Wedge
UVFS 1.4585 67.82 3 2.0 4.1863 25 4.82987535595953 0.073064718476239 1.82987535595953 25.0668794192326 n/a "Edmund Optics" Wedge
UVFS 1.4585 67.82 3 2.5 5.2247 25 5.28604532847606 0.091188217428948 2.28604532847606 25.1043024847106 n/a "Edmund Optics" Wedge
NBK7 1.5169 64.17 3 0.5 0.58 25 3.25308138629318 0.010122909661567 0.253081386293177 25.001280970944 n/a "Edmund Optics" Wedge
NBK7 1.5169 64.17 3 1.0 1.933 25 3.84375050415904 0.03373721444105 0.843750504159036 25.0142342459902 n/a "Edmund Optics" Wedge
NBK7 1.5169 64.17 3 2.0 3.8667 25 4.68973219938243 0.067486646186865 1.68973219938243 25.0570388295511 n/a "Edmund Optics" Wedge
CaF2 1.4338 94.99 3 0.5 1.154728547667304 25 3.5039136058519635 0.02015381512356674 0.5039136058519635 25.005078062708836 n/a Sydor Wedge
CaF2 1.4338 94.99 3 1.0 2.307823757995635 25 4.007523008311095 0.04027912313277264 1.0075230083110949 25.0202938154666 n/a Sydor Wedge
CaF2 1.4338 94.99 3 1.5 3.457663783514178 25 4.510524575308534 0.06034761744928684 1.5105245753085343 25.045592117029514 n/a Sydor Wedge
CaF2 1.4338 94.99 3 2.0 4.602649555183049 25 5.012615815169747 0.08033138905339664 2.012615815169747 25.080881611687246 n/a Sydor Wedge
MgF2 1.3777 106.22 3 0.5 1.325872458538285 25 3.5786242844021317 0.023140839863005077 0.5786242844021317 25.006695224729313 n/a Sydor Wedge
MgF2 1.3777 106.22 3 1.0 2.649424129730278 25 4.156854022443289 0.046241174345578735 1.156854022443289 25.02675191128971 n/a Sydor Wedge
MgF2 1.3777 106.22 3 1.5 3.9683548432781635 25 4.734295511777029 0.06926085790266752 1.7342955117770291 25.060083418100785 n/a Sydor Wedge
MgF2 1.3777 106.22 3 2.0 5.280405207250325 25 5.310556734294821 0.09216045670597173 2.3105567342948206 25.10654640571648 n/a Sydor Wedge
BaF2 1.4746 81.78 3 0.5 1.0561943815725385 25 3.460903946016002 0.01843406949950612 0.46090394601600204 25.004248287990045 n/a Sydor Wedge
BaF2 1.4746 81.78 3 1.0 2.111082102238555 25 3.9215504000476002 0.03684533346398634 0.9215504000476002 25.01697933683897 n/a Sydor Wedge
BaF2 1.4746 81.78 3 1.5 3.16336442516607063 25 4.381682314970992 0.05521112467172938 1.381682314970992 25.0381518091792 n/a Sydor Wedge
BaF2 1.4746 81.78 3 2.0 4.211758346077062 25 4.841043531769071 0.07350905043739553 1.8410435317690714 25.067697167587387 n/a Sydor Wedge
