Material nd "abbe number" T(mm) "Wedge angle" Diameter T_edge "wedge radians" B C H Manufacturer, "Prism Type"
NBK7 1.5168 81.78 3.0 0.5 25.0 3.21817169476897 0.008726646259971648 0.2181716947689698 25.000951959643423 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 0.6 25.0 3.2618089580574297 0.010471975511965976 0.26180895805742965 25.00137084102628 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 0.7 25.0 3.305447816555443 0.012217304763960306 0.30544781655544284 25.001865897741283 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 0.8 25.0 3.3490885362295413 0.013962634015954637 0.3490885362295413 25.00243713732977 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 0.9 25.0 3.392731383091623 0.015707963267948967 0.3927313830916228 25.003084568494046 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.0 25.0 3.43637662320544 0.017453292519943295 0.4363766232054398 25.00380820109769 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.1 25.0 3.4800245226930873 0.019198621771937627 0.48002452269308726 25.004608046165945 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.2 25.0 3.5236753477414995 0.020943951023931956 0.5236753477414995 25.0054841158861 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.3 25.0 3.567329364608944 0.022689280275926284 0.5673293646089439 25.006436423607973 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.4 25.0 3.6109868396315212 0.024434609527920613 0.6109868396315212 25.007464983844383 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.5 25.0 3.654648039229673 0.02617993877991494 0.6546480392296732 25.008569812271695 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.6 25.0 3.6983132299146875 0.027925268031909273 0.6983132299146875 25.009750925730426 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.7 25.0 3.741982678295213 0.029670597283903605 0.741982678295213 25.011008342225832 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.8 25.0 3.785656651083779 0.031415926535897934 0.7856566510837788 25.012342080928608 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 1.9 25.0 3.829335415103317 0.03316125578789226 0.829335415103317 25.0137521621756 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.0 25.0 3.8730192372936934 0.03490658503988659 0.8730192372936934 25.015238607470543 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.1 25.0 3.916708384718242 0.03665191429188092 0.916708384718242 25.01680143948488 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.2 25.0 3.9604031245703073 0.038397243543875255 0.9604031245703073 25.018440682058593 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.3 25.0 4.004103724179796 0.04014257279586957 1.0041037241797959 25.020156360201103 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.4 25.0 4.047810451019727 0.04188790204786391 1.0478104510197266 25.021948500092197 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.5 25.0 4.091523572712801 0.04363323129985824 1.0915235727128012 25.023817129083 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.6 25.0 4.13524335703797 0.04537856055185257 1.1352433570379699 25.025762275696994 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.7 25.0 4.1789700719370115 0.047123889803846894 1.1789700719370115 25.027783969631095 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.8 25.0 4.222703985521125 0.048869219055841226 1.2227039855211252 25.029882241756738 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 2.9 25.0 4.266445366077521 0.050614548307835565 1.2664453660775212 25.032057124121046 n/a Sydor Wedge
NBK7 1.5168 81.78 3.0 3.0 25.0 4.31019448207603 0.05235987755982988 1.3101944820760298 25.034308649948024 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 0.5 25.0 3.21817169476897 0.008726646259971648 0.2181716947689698 25.000951959643423 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 0.6 25.0 3.2618089580574297 0.010471975511965976 0.26180895805742965 25.00137084102628 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 0.7 25.0 3.305447816555443 0.012217304763960306 0.30544781655544284 25.001865897741283 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 0.8 25.0 3.3490885362295413 0.013962634015954637 0.3490885362295413 25.00243713732977 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 0.9 25.0 3.392731383091623 0.015707963267948967 0.3927313830916228 25.003084568494046 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.0 25.0 3.43637662320544 0.017453292519943295 0.4363766232054398 25.00380820109769 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.1 25.0 3.4800245226930873 0.019198621771937627 0.48002452269308726 25.004608046165945 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.2 25.0 3.5236753477414995 0.020943951023931956 0.5236753477414995 25.0054841158861 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.3 25.0 3.567329364608944 0.022689280275926284 0.5673293646089439 25.006436423607973 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.4 25.0 3.6109868396315212 0.024434609527920613 0.6109868396315212 25.007464983844383 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.5 25.0 3.654648039229673 0.02617993877991494 0.6546480392296732 25.008569812271695 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.6 25.0 3.6983132299146875 0.027925268031909273 0.6983132299146875 25.009750925730426 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.7 25.0 3.741982678295213 0.029670597283903605 0.741982678295213 25.011008342225832 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.8 25.0 3.785656651083779 0.031415926535897934 0.7856566510837788 25.012342080928608 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 1.9 25.0 3.829335415103317 0.03316125578789226 0.829335415103317 25.0137521621756 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.0 25.0 3.8730192372936934 0.03490658503988659 0.8730192372936934 25.015238607470543 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.1 25.0 3.916708384718242 0.03665191429188092 0.916708384718242 25.01680143948488 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.2 25.0 3.9604031245703073 0.038397243543875255 0.9604031245703073 25.018440682058593 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.3 25.0 4.004103724179796 0.04014257279586957 1.0041037241797959 25.020156360201103 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.4 25.0 4.047810451019727 0.04188790204786391 1.0478104510197266 25.021948500092197 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.5 25.0 4.091523572712801 0.04363323129985824 1.0915235727128012 25.023817129083 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.6 25.0 4.13524335703797 0.04537856055185257 1.1352433570379699 25.025762275696994 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.7 25.0 4.1789700719370115 0.047123889803846894 1.1789700719370115 25.027783969631095 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.8 25.0 4.222703985521125 0.048869219055841226 1.2227039855211252 25.029882241756738 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 2.9 25.0 4.266445366077521 0.050614548307835565 1.2664453660775212 25.032057124121046 n/a Sydor Wedge
BaF2 1.4746 81.78 3.0 3.0 25.0 4.31019448207603 0.05235987755982988 1.3101944820760298 25.034308649948024 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 0.5 25.0 3.21817169476897 0.008726646259971648 0.2181716947689698 25.000951959643423 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 0.6 25.0 3.2618089580574297 0.010471975511965976 0.26180895805742965 25.00137084102628 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 0.7 25.0 3.305447816555443 0.012217304763960306 0.30544781655544284 25.001865897741283 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 0.8 25.0 3.3490885362295413 0.013962634015954637 0.3490885362295413 25.00243713732977 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 0.9 25.0 3.392731383091623 0.015707963267948967 0.3927313830916228 25.003084568494046 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.0 25.0 3.43637662320544 0.017453292519943295 0.4363766232054398 25.00380820109769 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.1 25.0 3.4800245226930873 0.019198621771937627 0.48002452269308726 25.004608046165945 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.2 25.0 3.5236753477414995 0.020943951023931956 0.5236753477414995 25.0054841158861 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.3 25.0 3.567329364608944 0.022689280275926284 0.5673293646089439 25.006436423607973 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.4 25.0 3.6109868396315212 0.024434609527920613 0.6109868396315212 25.007464983844383 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.5 25.0 3.654648039229673 0.02617993877991494 0.6546480392296732 25.008569812271695 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.6 25.0 3.6983132299146875 0.027925268031909273 0.6983132299146875 25.009750925730426 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.7 25.0 3.741982678295213 0.029670597283903605 0.741982678295213 25.011008342225832 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.8 25.0 3.785656651083779 0.031415926535897934 0.7856566510837788 25.012342080928608 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 1.9 25.0 3.829335415103317 0.03316125578789226 0.829335415103317 25.0137521621756 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 2.0 25.0 3.8730192372936934 0.03490658503988659 0.8730192372936934 25.015238607470543 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 2.1 25.0 3.916708384718242 0.03665191429188092 0.916708384718242 25.01680143948488 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 2.2 25.0 3.9604031245703073 0.038397243543875255 0.9604031245703073 25.018440682058593 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 2.3 25.0 4.004103724179796 0.04014257279586957 1.0041037241797959 25.020156360201103 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 2.4 25.0 4.047810451019727 0.04188790204786391 1.0478104510197266 25.021948500092197 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 2.5 25.0 4.091523572712801 0.04363323129985824 1.0915235727128012 25.023817129083 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 2.6 25.0 4.13524335703797 0.04537856055185257 1.1352433570379699 25.025762275696994 n/a Sydor Wedge
UVFS 1.4585 81.78 3.0 2.7 25.0 4.1789700719370115 0.047123889803846894 1.1789700719370115 25.027783969631095 n/a Sydor Wedge
